row,column,image_name,score,ba_classifier,gf_classifier,tlc_classifier,ba_user,gf_user,tlc_user,user_id
477,621,1fffe02b2797a5dfaa14c1208962e493,76,Hard coral,NULL,Hard coral,Porites,Branching,Hard coral,1815d6d3b0c7bb82ef285d4fb37cc247
477,621,1fffe02b2797a5dfaa14c1208962e493,76,Hard coral,NULL,Hard coral,Hard coral,NULL,Hard coral,496e0dafcb51c161b5d834634f2b0d28
477,621,1fffe02b2797a5dfaa14c1208962e493,76,Hard coral,NULL,Hard coral,Porites,Branching,Hard coral,6355c216cee4d7aeafffc57fa92d75ef
477,621,1fffe02b2797a5dfaa14c1208962e493,76,Hard coral,NULL,Hard coral,Porites,Branching,Hard coral,76ee01e31a0d0d3028f8cc4f68dbbbbf
477,621,1fffe02b2797a5dfaa14c1208962e493,76,Hard coral,NULL,Hard coral,Stylophora,NULL,Hard coral,d7dcc8f1f24205701824c1efd8be46c9
477,621,1fffe02b2797a5dfaa14c1208962e493,76,Hard coral,NULL,Hard coral,Porites,Branching,Hard coral,e2431ee5a581b0ecb853959753f6bc9e
477,621,1fffe02b2797a5dfaa14c1208962e493,76,Hard coral,NULL,Hard coral,Rubble,NULL,Rubble,fb1a4adc837192525b766917ceb8d07e
477,621,1fffe02b2797a5dfaa14c1208962e493,76,Hard coral,NULL,Hard coral,Hard coral,NULL,Hard coral,fdf300af395423f13d50b53fe2205145
477,1242,1fffe02b2797a5dfaa14c1208962e493,86,Hard coral,Massive,Hard coral,Unknown,NULL,Other,1815d6d3b0c7bb82ef285d4fb37cc247
477,1242,1fffe02b2797a5dfaa14c1208962e493,86,Hard coral,Massive,Hard coral,Hard coral,Massive,Hard coral,496e0dafcb51c161b5d834634f2b0d28
477,1242,1fffe02b2797a5dfaa14c1208962e493,86,Hard coral,Massive,Hard coral,Unknown,NULL,Other,6355c216cee4d7aeafffc57fa92d75ef
477,1242,1fffe02b2797a5dfaa14c1208962e493,86,Hard coral,Massive,Hard coral,Other,NULL,Other,76ee01e31a0d0d3028f8cc4f68dbbbbf
477,1242,1fffe02b2797a5dfaa14c1208962e493,86,Hard coral,Massive,Hard coral,Stylophora,NULL,Hard coral,d7dcc8f1f24205701824c1efd8be46c9
477,1242,1fffe02b2797a5dfaa14c1208962e493,86,Hard coral,Massive,Hard coral,Crustose coralline algae,NULL,Crustose coralline algae,e2431ee5a581b0ecb853959753f6bc9e
477,1242,1fffe02b2797a5dfaa14c1208962e493,86,Hard coral,Massive,Hard coral,Rubble,NULL,Rubble,fb1a4adc837192525b766917ceb8d07e
477,1242,1fffe02b2797a5dfaa14c1208962e493,86,Hard coral,Massive,Hard coral,Hard coral,Massive,Hard coral,fdf300af395423f13d50b53fe2205145
477,1863,1fffe02b2797a5dfaa14c1208962e493,42,Hard coral,NULL,Hard coral,Porites,Branching,Hard coral,1815d6d3b0c7bb82ef285d4fb37cc247
477,1863,1fffe02b2797a5dfaa14c1208962e493,42,Hard coral,NULL,Hard coral,Hard coral,NULL,Hard coral,496e0dafcb51c161b5d834634f2b0d28
477,1863,1fffe02b2797a5dfaa14c1208962e493,42,Hard coral,NULL,Hard coral,Porites,Branching,Hard coral,6355c216cee4d7aeafffc57fa92d75ef
477,1863,1fffe02b2797a5dfaa14c1208962e493,42,Hard coral,NULL,Hard coral,Porites,Branching,Hard coral,76ee01e31a0d0d3028f8cc4f68dbbbbf
477,1863,1fffe02b2797a5dfaa14c1208962e493,42,Hard coral,NULL,Hard coral,Stylophora,NULL,Hard coral,d7dcc8f1f24205701824c1efd8be46c9
477,1863,1fffe02b2797a5dfaa14c1208962e493,42,Hard coral,NULL,Hard coral,Porites,Branching,Hard coral,e2431ee5a581b0ecb853959753f6bc9e
477,1863,1fffe02b2797a5dfaa14c1208962e493,42,Hard coral,NULL,Hard coral,Porites,Branching,Hard coral,fb1a4adc837192525b766917ceb8d07e
477,1863,1fffe02b2797a5dfaa14c1208962e493,42,Hard coral,NULL,Hard coral,Hard coral,NULL,Hard coral,fdf300af395423f13d50b53fe2205145
477,2484,1fffe02b2797a5dfaa14c1208962e493,88,Hard coral,NULL,Hard coral,Porites,Branching,Hard coral,1815d6d3b0c7bb82ef285d4fb37cc247
